Name,Position,Year,Selection,GPYr1,PSYr1,TOIYr1,GPYr2,PSYr2,TOIYr2,GPYr3,PSYr3,TOIYr3,GPYr4,PSYr4,TOIYr4,GPYr5,PSYr5,TOIYr5,GPYr6,PSYr6,TOIYr6,GPYr7,PSYr7,TOIYr7
Calvin Pickard,G,2010,49,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00
Connor Brickley,C,2010,50,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,23,0.4,200:41,0,N/A,0:00
Calle Jarnkrok,C,2010,51,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,12,1.2,168:49,74,1.2,950:51,81,3.1,1306:58,81,2.9,1273:48
Phil Lane,RW,2010,52,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00
Mark Alt,D,2010,53,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,1,-0.1,9:25,0,N/A,0:00,0,N/A,0:00
Justin Holl,D,2010,54,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00
Petr Straka,RW,2010,55,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,3,0.2,28:22,0,N/A,0:00,0,N/A,0:00
Johan Larsson,LW,2010,56,0,N/A,0:00,0,N/A,0:00,1,0.0,14:02,28,0.0,376:41,39,1.6,566:08,74,1.4,1096:39,36,0.7,606:41
Oscar Lindberg,C,2010,57,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,1,0.0,8:18,68,3.6,828:01,65,1.8,703:55
Kent Simpson,G,2010,58,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00
Jason Zucker,LW,2010,59,0,N/A,0:00,6,0.0,66:09,20,0.8,225:18,21,0.6,272:44,51,3.7,768:02,71,2.1,1106:10,79,6.7,1207:35
Stephen Johns,D,2010,60,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,14,0.0,249:37,61,1.3,1113:35
Ryan Martindale,C,2010,61,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00
Greg McKegg,C,2010,62,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,1,0.0,3:43,3,0.0,27:34,15,0.3,123:52,15,0.0,139:01
Brock Beukeboom,D,2010,63,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00
Max Reinhart,C,2010,64,0,N/A,0:00,0,N/A,0:00,11,0.1,158:35,8,0.1,85:37,4,-0.2,32:21,0,N/A,0:00,0,N/A,0:00
Kirill Kabanov,LW,2010,65,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00
Radko Gudas,D,2010,66,0,N/A,0:00,0,N/A,0:00,22,1.1,373:50,73,3.8,1396:16,31,0.6,527:00,76,3.2,1508:07,67,5.5,1292:35
